Name,FY21,FY20,FY19,FY18
Transportation Infrastructure Development,,"$2,382,400,000 ","$2,018,800,000 ",$0 
Metro Transit - Operations,,"$1,837,500,000 ","$1,774,100,000 ",$0 
Metro Transit - State of Good Repair (SGR),,"$492,400,000 ","$517,900,000 ",$0 
SGR Technology Projects Total,,"$18,094,000 ","$17,867,000 ",$0 
Subsidy Funding Programs,,"$1,404,700,000 ","$1,333,000,000 ","$1,509,900,000 "
Regional Rail,,"$178,200,000 ","$179,300,000 ",$0 
General Planning & Program,,"$174,000,000 ","$128,600,000 ","$191,000,000 "
Congestion Management,,"$135,900,000 ","$173,200,000 ","$97,300,000 "
Debt Service,,"$534,900,000 ","$417,100,000 ","$381,800,000 "
Oversight & Administration,,"$67,600,000 ","$68,700,000 ",$0 
Operations,,$0 ,$0 ,"$1,703,500,000 "
Capital,,$0 ,$0 ,"$2,237,300,000 "
Total,,"$7,207,600,000 ","$6,610,700,000 ","$6,120,800,000 "
